year,avg_temp,gdd,total_rain,et0,water_stress,diurnal_range,frost_days,region,hemisphere,avg_temp_lag1,gdd_lag1,total_rain_lag1,water_stress_lag1,diurnal_range_lag1,frost_days_lag1
2000,15.8,1270.1,596.8,619.8,0.963,8.79,1,Alsace,Northern,,,,,,
2001,15.69,1290.0,578.5,621.2,0.931,8.44,3,Alsace,Northern,15.8,1270.1,596.8,0.963,8.79,1.0
2002,15.29,1192.8,648.9,602.1,1.078,8.54,1,Alsace,Northern,15.69,1290.0,578.5,0.931,8.44,3.0
2003,17.11,1669.5,429.5,745.9,0.576,9.68,10,Alsace,Northern,15.29,1192.8,648.9,1.078,8.54,1.0
2004,15.7,1263.7,480.7,642.7,0.748,8.68,1,Alsace,Northern,17.11,1669.5,429.5,0.576,9.68,10.0
2005,16.2,1350.0,475.0,634.5,0.749,8.98,1,Alsace,Northern,15.7,1263.7,480.7,0.748,8.68,1.0
2006,16.63,1468.2,627.6,638.5,0.983,8.6,2,Alsace,Northern,16.2,1350.0,475.0,0.749,8.98,1.0
2007,15.85,1304.7,514.2,639.5,0.804,8.89,0,Alsace,Northern,16.63,1468.2,627.6,0.983,8.6,2.0
2008,15.29,1219.6,555.1,604.0,0.919,8.42,3,Alsace,Northern,15.85,1304.7,514.2,0.804,8.89,0.0
2009,16.33,1399.4,411.3,656.4,0.627,9.03,0,Alsace,Northern,15.29,1219.6,555.1,0.919,8.42,3.0
2010,15.13,1193.9,630.9,604.9,1.043,8.43,2,Alsace,Northern,16.33,1399.4,411.3,0.627,9.03,0.0
2011,16.63,1450.2,444.3,683.2,0.65,9.45,0,Alsace,Northern,15.13,1193.9,630.9,1.043,8.43,2.0
2012,15.84,1335.9,569.0,640.7,0.888,8.9,4,Alsace,Northern,16.63,1450.2,444.3,0.65,9.45,0.0
2013,15.84,1323.7,668.8,618.5,1.081,8.33,5,Alsace,Northern,15.84,1335.9,569.0,0.888,8.9,4.0
2014,16.5,1405.3,542.9,647.3,0.839,8.51,0,Alsace,Northern,15.84,1323.7,668.8,1.081,8.33,5.0
2015,16.58,1468.7,420.4,683.3,0.615,9.13,4,Alsace,Northern,16.5,1405.3,542.9,0.839,8.51,0.0
2016,16.13,1374.6,590.0,626.0,0.943,8.55,0,Alsace,Northern,16.58,1468.7,420.4,0.615,9.13,4.0
2000,17.42,1614.9,821.5,698.8,1.176,9.26,0,Barolo,Northern,,,,,,
2001,17.65,1658.5,432.6,729.6,0.593,9.71,0,Barolo,Northern,17.42,1614.9,821.5,1.176,9.26,0.0
2002,16.42,1410.6,901.8,644.4,1.4,9.0,1,Barolo,Northern,17.65,1658.5,432.6,0.593,9.71,0.0
2003,18.84,1990.4,353.9,816.5,0.433,10.7,3,Barolo,Northern,16.42,1410.6,901.8,1.4,9.0,1.0
2004,17.43,1623.7,478.1,720.8,0.663,9.57,1,Barolo,Northern,18.84,1990.4,353.9,0.433,10.7,3.0
2005,17.42,1616.3,602.8,707.3,0.852,9.4,0,Barolo,Northern,17.43,1623.7,478.1,0.663,9.57,1.0
2006,18.22,1772.7,488.7,758.5,0.644,10.16,0,Barolo,Northern,17.42,1616.3,602.8,0.852,9.4,0.0
2007,17.64,1665.0,507.0,765.2,0.663,10.23,2,Barolo,Northern,18.22,1772.7,488.7,0.644,10.16,0.0
2008,17.24,1568.7,628.6,687.7,0.914,9.34,1,Barolo,Northern,17.64,1665.0,507.0,0.663,10.23,2.0
2009,18.26,1794.9,676.1,760.0,0.89,10.0,0,Barolo,Northern,17.24,1568.7,628.6,0.914,9.34,1.0
2010,16.8,1518.0,696.1,695.4,1.001,9.19,2,Barolo,Northern,18.26,1794.9,676.1,0.89,10.0,0.0
2011,18.4,1814.8,436.2,780.1,0.559,10.54,0,Barolo,Northern,16.8,1518.0,696.1,1.001,9.19,2.0
2012,17.58,1666.6,672.7,684.1,0.983,8.88,1,Barolo,Northern,18.4,1814.8,436.2,0.559,10.54,0.0
2013,17.43,1621.4,737.8,701.3,1.052,9.34,0,Barolo,Northern,17.58,1666.6,672.7,0.983,8.88,1.0
2014,17.23,1552.6,636.9,668.1,0.953,8.93,0,Barolo,Northern,17.43,1621.4,737.8,1.052,9.34,0.0
2015,17.8,1685.4,703.9,698.6,1.008,9.1,2,Barolo,Northern,17.23,1552.6,636.9,0.953,8.93,0.0
2016,17.82,1687.8,477.8,738.5,0.647,9.68,0,Barolo,Northern,17.8,1685.4,703.9,1.008,9.1,2.0
2000,18.7,1853.7,285.2,1065.8,0.268,11.43,0,Barossa Valley,Southern,,,,,,
2001,19.58,2030.7,144.5,1137.1,0.127,12.2,0,Barossa Valley,Southern,18.7,1853.7,285.2,0.268,11.43,0.0
2002,17.12,1509.2,145.0,993.9,0.146,11.54,0,Barossa Valley,Southern,19.58,2030.7,144.5,0.127,12.2,0.0
2003,18.75,1855.3,142.0,1130.7,0.126,12.78,0,Barossa Valley,Southern,17.12,1509.2,145.0,0.146,11.54,0.0
2004,18.56,1826.9,148.4,1112.5,0.133,12.72,0,Barossa Valley,Southern,18.75,1855.3,142.0,0.126,12.78,0.0
2005,18.67,1838.1,166.4,1107.7,0.15,12.42,0,Barossa Valley,Southern,18.56,1826.9,148.4,0.133,12.72,0.0
2006,18.69,1843.2,247.2,1071.3,0.231,11.74,0,Barossa Valley,Southern,18.67,1838.1,166.4,0.15,12.42,0.0
2007,19.67,2050.3,233.9,1172.6,0.199,12.81,0,Barossa Valley,Southern,18.69,1843.2,247.2,0.231,11.74,0.0
2008,19.41,2004.9,141.5,1170.8,0.121,12.71,0,Barossa Valley,Southern,19.67,2050.3,233.9,0.199,12.81,0.0
2009,18.9,1886.4,224.1,1113.7,0.201,12.17,0,Barossa Valley,Southern,19.41,2004.9,141.5,0.121,12.71,0.0
2010,20.02,2126.8,206.9,1133.9,0.182,12.48,0,Barossa Valley,Southern,18.9,1886.4,224.1,0.201,12.17,0.0
2011,18.28,1756.7,297.6,974.6,0.305,10.94,0,Barossa Valley,Southern,20.02,2126.8,206.9,0.182,12.48,0.0
2012,19.02,1921.6,167.5,1068.3,0.157,11.61,0,Barossa Valley,Southern,18.28,1756.7,297.6,0.305,10.94,0.0
2013,19.75,2069.3,105.2,1167.4,0.09,12.6,0,Barossa Valley,Southern,19.02,1921.6,167.5,0.157,11.61,0.0
2014,19.07,1923.8,201.9,1098.6,0.184,12.15,0,Barossa Valley,Southern,19.75,2069.3,105.2,0.09,12.6,0.0
2015,18.9,1887.6,199.3,1092.8,0.182,12.26,0,Barossa Valley,Southern,19.07,1923.8,201.9,0.184,12.15,0.0
2016,20.44,2223.6,150.7,1164.4,0.129,12.7,0,Barossa Valley,Southern,18.9,1887.6,199.3,0.182,12.26,0.0
2000,17.49,1617.7,435.7,785.6,0.555,10.49,1,Chianti Classico,Northern,,,,,,
2001,16.92,1520.5,464.8,773.6,0.601,10.75,2,Chianti Classico,Northern,17.49,1617.7,435.7,0.555,10.49,1.0
2002,16.5,1404.1,607.8,715.1,0.85,9.94,0,Chianti Classico,Northern,16.92,1520.5,464.8,0.601,10.75,2.0
2003,18.61,1908.4,325.2,879.5,0.37,11.35,4,Chianti Classico,Northern,16.5,1404.1,607.8,0.85,9.94,0.0
2004,16.97,1521.5,493.0,763.1,0.646,10.26,0,Chianti Classico,Northern,18.61,1908.4,325.2,0.37,11.35,4.0
2005,16.94,1516.1,454.4,765.2,0.594,10.68,2,Chianti Classico,Northern,16.97,1521.5,493.0,0.646,10.26,0.0
2006,17.66,1648.3,316.9,815.0,0.389,11.27,0,Chianti Classico,Northern,16.94,1516.1,454.4,0.594,10.68,2.0
2007,17.24,1567.9,343.9,804.1,0.428,10.98,0,Chianti Classico,Northern,17.66,1648.3,316.9,0.389,11.27,0.0
2008,16.9,1495.2,495.8,748.4,0.663,10.44,0,Chianti Classico,Northern,17.24,1567.9,343.9,0.428,10.98,0.0
2009,17.77,1682.0,370.0,809.7,0.457,10.74,1,Chianti Classico,Northern,16.9,1495.2,495.8,0.663,10.44,0.0
